estado,part_polit_gob,def_x_est,def_x_est_muj,def_x_est_hom,nacim_x_est,nacim_x_est_a,nacim_x_est_o,porc_nac_x_est,cant_nac_x_est,viv_part_habit,pobl_pobre_est,pobl_probre_mode,pobl_probre_extr,piso_mat_durab,piso_tier,prom_habit_viv,prom_ingr_trim,gast_alim_esta_trim,gast_vest_esta_trim,gast_viv_serv_trim,gast_mueb_limp_trim,gast_salud_trim,gast_tras_trim,gast_educ_trim
1,3,174,143,31,23067,11801,11266,16,3691,386445,1435.1,361.8,34.7,382634,2899,3.7,58303,12303,1327,3159,2261,1647,7661,3299
2,2,121,104,17,59015,29651,29364,13.3,7849,1148913,3783.6,793.7,58,1118684,22576,3.3,67821,11954,991,5704,2426,1172,8315,2412
3,2,58,53,5,10242,5158,5084,13.2,1352,240468,809.5,200,23.4,226784,11234,3.3,64266,12812,942,4330,2526,1149,7308,2237
4,2,110,91,19,14295,7246,7049,13.6,1944,260725,934.6,359.9,112.6,251811,7150,3.6,47276,10846,659,2276,2019,1288,5400,2274
5,2,245,192,53,146298,74434,71864,17.4,25456,1351023,5587.4,2594.9,1623.1,1191940,149481,4.1,29168,8069,668,1541,1541,988,3015,1260
6,3,572,442,120,54971,28067,26904,18.2,10005,1146395,3764,842,110.5,1120637,21790,3.2,60263,9728,718,3607,1897,766,6059,2088
7,4,293,248,45,47128,23802,23326,16.6,7823,900883,3170.3,731.2,81,890952,7270,3.5,55671,10320,1071,3530,2439,1130,6784,2826
8,2,77,69,8,9552,4831,4721,13.6,1299,226853,734.4,182.4,13.7,219978,5756,3.2,56297,13038,988,3357,2304,1403,7176,2499
9,2,352,268,84,94339,47733,46606,10.6,10000,2756319,9230,2609,400.4,2732051,16199,3.3,67357,14887,1008,5837,2087,1482,5724,2765
10,4,139,110,29,31059,15924,15135,17.6,5466,493698,1849.3,635.9,79.6,474438,17650,3.7,50361,10561,1062,2470,2243,1046,5725,2211
11,4,936,726,210,219399,110648,108751,15,32910,4568635,17072.7,6940.6,1401.9,4463581,92762,3.7,49620,12633,834,3279,1670,937,5960,2314
12,3,449,363,86,107409,54314,53094,15.9,17078,1586531,6199.1,2368.5,281.2,1543881,37095,3.9,48388,11342,947,2995,1930,967,4716,2242
13,2,45,36,9,65587,33238,32348,18,11806,942043,3558.7,1455.6,907.6,803696,132012,3.7,32516,9480,677,1562,1531,1225,3665,1264
14,2,185,152,33,39431,20121,19310,15.1,5954,857174,3094.7,1318.6,252,830388,24402,3.6,40090,9718,787,2172,1502,1617,4390,1850
15,1,728,616,112,127453,65106,62347,14,17843,2330706,8382.6,2381.6,251.8,2276788,35773,3.6,55746,13375,1064,4276,2061,1404,6600,2374
16,2,330,273,57,81215,41303,39911,15.8,12832,1284644,4793.9,1770,363.7,1214193,66867,3.7,46410,12384,1406,2418,2294,1875,5841,2600
17,2,158,126,32,25668,12987,12681,14.9,3825,560669,1976.1,839.9,166.8,537239,21532,3.5,42041,10875,775,2506,1726,1182,5005,1805
18,2,92,72,20,17342,8701,8641,15.6,2705,361270,1238.5,329.6,47,348366,11279,3.4,51965,12713,1104,2371,2135,1427,6340,1842
19,1,400,345,55,82114,41706,40408,12.7,10428,1655256,5856.7,1301.1,123.9,1634277,13939,3.5,72931,11845,853,4758,2678,1439,7147,4004
20,2,189,153,36,72012,36330,35682,16,11522,1125892,4167.4,1709.4,860.5,969778,149170,3.7,36263,9326,675,1375,1566,1346,3434,1457
21,2,359,272,87,114803,57862,56941,17.5,20091,1713381,6625.7,3292.2,844.3,1621181,87193,3.8,39616,10223,991,2524,1636,1499,4362,2213
22,3,232,182,50,32801,16634,16167,12.7,4166,668487,2395.5,680.7,69.7,652622,12875,3.5,60435,13012,1206,4277,2253,1557,6652,3488
23,2,167,125,42,26116,13229,12887,13.6,3552,575489,1880.5,693.4,199.4,554371,12803,3.2,46380,11466,548,4003,1972,836,5486,1778
24,5,282,236,46,43068,21832,21236,14.8,6374,774658,2833.3,963.4,250.6,734732,37830,3.6,47819,10628,949,2467,2029,1366,5050,2883
25,2,171,143,28,44433,22593,21840,14.8,6576,854816,3041.7,779.9,73.9,833169,19497,3.5,55834,11484,1149,3559,2254,2125,6835,2456
26,2,328,277,51,40561,20598,19963,14.5,5881,876333,2957.6,780.1,104.9,851944,21326,3.3,61358,10923,803,4671,2069,1167,6620,2578
27,2,110,91,19,43129,21750,21379,16,6901,669303,2415.8,985.3,330.8,645156,23000,3.6,41665,9669,427,1737,1686,886,4322,1526
28,2,202,168,34,49048,25089,23959,13.7,6720,1069121,3531.4,1098.4,135.5,1049290,16010,3.3,49688,9969,645,3291,1966,1120,6090,2208
29,2,61,49,12,20295,10260,10035,17,3450,341577,1350,667.5,132.9,329480,6252,3.9,37919,9607,1122,2149,1541,1071,4096,1920
30,2,253,212,41,105037,53582,51455,16.9,17751,2390726,8104.8,3619.9,1129.8,2247166,136800,3.4,35126,9064,770,2080,1806,1227,4123,1722
31,3,340,275,65,28064,14138,13926,14.3,4013,658085,2337.8,893.2,263.7,646436,9250,3.5,46766,12197,520,2093,2264,1517,5159,2195
32,2,130,110,20,28442,14420,14022,15.7,4465,442623,1629.3,681.7,64,435827,5878,3.7,44405,10553,1094,2291,2134,1462,5306,1749
